patientid,statusid,name,description,staffid,datein,dateout,time_in,time_out,time_duration,census_reason_id,census_reason_txt,reason_txt,display_id
14395,1,Amelia,Senior Exam,24,2/20/2023 11:47:40,2/20/2023 12:21:15,11:47,12:21,34 m,,vacc,,MPV
14395,1,Amelia,Technician Appointment,MTK,5/20/2023 10:33:16,5/20/2023 10:53:06,10:33,10:53,20 m,,lyme lepto,,MET
9448,1,Penny,Sick,11,8/29/2022 16:43:43,8/29/2022 17:15:52,16:43,17:15,32 m,,swollen face,,MPV
9448,1,Penny,Lab Work,TK,8/31/2022 9:10:11,8/31/2022 9:23:16,9:10,9:23,13 m,,,,MPV
3706,1,Norman,Senior Exam,16,10/20/2022 8:52:23,10/20/2022 9:30:05,8:52,9:30,38 m,,,,MPV
9448,1,Penny,Preventative Care Exam,19,11/2/2022 10:51:30,11/2/2022 11:17:27,10:51,11:17,26 m,,,,MPV
3706,1,Norman,Recheck,16,11/17/2022 8:28:47,11/17/2022 9:02:56,8:28,9:02,34 m,,BW,,MPV
3706,1,Norman,Recheck,16,11/23/2022 15:56:03,11/23/2022 16:32:22,15:56,16:32,36 m,,,,MPV
9448,1,Penny,Sick,11,5/31/2023 12:03:32,5/31/2023 12:32:21,12:03,12:32,29 m,,"lethargic, Diarrhea, vomited",,MPV
9448,1,Penny,Not Wellness,11,6/26/2023 11:04:18,6/26/2023 11:46:56,11:04,11:46,42 m,,ear infection,,MPV
3706,1,Norman,Senior Exam,16,6/29/2023 8:41:23,6/29/2023 9:12:14,8:41,9:12,31 m,,,,MPV
32315,1,Maggie,New Client,16,5/11/2023 14:04:03,5/11/2023 14:45:33,14:04,14:45,41 m,,check tooth,,MPV
32315,1,Maggie,Dental,16,5/24/2023 7:28:54,5/24/2023 17:40:21,7:28,17:40,10 h 12 m,,extraction,,MPV
32315,1,Maggie,Sick,L12,7/25/2023 15:25:19,7/25/2023 15:56:24,15:25,15:56,31 m,,"skin issues, hairloss & rash",,LVH
14587,1,Tigger,Sick,6,8/17/2022 10:16:54,8/17/2022 10:45:42,10:16,10:45,29 m,,nail in pad,,MPV
29487,1,Gizmo,New Pet,19,9/7/2022 9:44:43,9/7/2022 10:36:57,9:44,10:36,52 m,,,,MPV
12801,1,Cooper,Preventative Care Exam,M11,5/30/2023 17:19:57,5/30/2023 17:49:19,17:19,17:49,30 m,,,,MET
13849,1,Snowball,Senior Exam,M6,6/22/2023 12:33:03,6/22/2023 13:08:51,12:33,13:08,35 m,,,,MET
7901,1,Kingston,Emergency,6,9/8/2022 13:44:30,9/8/2022 15:08:03,13:44,15:08,1 h 24 m,,,,MPV
7901,1,Kingston,Sick,4,12/22/2022 9:52:06,12/22/2022 10:40:40,9:52,10:40,48 m,,was at PETS,,MPV
7901,1,Kingston,Senior Exam,6,7/26/2023 13:44:34,7/26/2023 14:28:13,13:44,14:28,44 m,,,,MPV
19516,1,Harry,Preventative Care Exam,24,6/15/2023 9:25:48,6/15/2023 9:47:29,9:25,9:47,22 m,,also age,,MPV
22988,1,Lulu,Sick,19,10/27/2022 16:13:42,10/27/2022 16:52:59,16:13,16:52,39 m,,,,MPV
22988,1,Lulu,Sick,4,12/6/2022 9:01:36,12/6/2022 13:08:10,9:01,13:08,4 h 7 m,,Apply splint,,MPV
22988,1,Lulu,Recheck,16,12/16/2022 14:43:51,12/16/2022 15:25:18,14:43,15:25,42 m,,,,MPV
22988,1,Lulu,Recheck,16,1/13/2023 16:39:58,1/13/2023 17:44:24,16:39,17:44,1 h 5 m,,leg/bandage change,,MPV
22988,1,Lulu,Recheck,16,1/27/2023 17:03:22,1/27/2023 17:58:53,17:03,17:58,55 m,,,,MPV
22988,1,Lulu,Recheck,L16,1/30/2023 16:49:09,1/30/2023 17:23:08,16:49,17:23,34 m,,Bandage,,LVH
22988,1,Lulu,Recheck,16,2/3/2023 14:47:06,2/3/2023 15:17:35,14:47,15:17,30 m,,Bandage,,MPV
32531,1,Porter,New Client,M11,6/9/2023 11:50:52,6/9/2023 11:52:25,11:50,11:52,2 m,,Establish vet/ vaccines,,MET
32531,1,Porter,New Client,M11,6/9/2023 12:03:24,6/9/2023 13:06:33,12:03,13:06,1 h 3 m,,Establish vet/ vaccines,,MET
32531,1,Porter,Technician Appointment,M11,7/28/2023 12:34:35,7/28/2023 12:52:10,12:34,12:52,18 m,,1st lyme lep flu,,MET
L6890-1,3,Ryleigh,Sick,L16,1/23/2023 9:03:46,1/23/2023 9:17:58,9:03,9:17,14 m,,cyst,,LVH
L6890-1,3,Ryleigh,,16,3/3/2023 15:27:14,3/3/2023 16:01:47,15:27,16:01,34 m,,,,MPV
L6890-1,3,Ryleigh,Surgery,4,3/9/2023 8:07:56,3/9/2023 17:04:13,8:07,17:04,8 h 57 m,,Oral Mass Removal,,MPV
L6890-1,3,Ryleigh,Recheck,16,5/11/2023 14:57:53,5/11/2023 15:47:34,14:57,15:47,50 m,,,,MPV
L6890-1,3,Ryleigh,Recheck,6,5/19/2023 16:24:59,5/19/2023 16:53:51,16:24,16:53,29 m,,found new lump/painful,,MPV
L6890-1,3,Ryleigh,Euthanasia,11,6/10/2023 13:08:40,6/10/2023 14:15:20,13:08,14:15,1 h 7 m,,,,MPV
15729-7,1,Holly,Senior Exam,16,10/4/2022 16:56:13,10/4/2022 18:08:24,16:56,18:08,1 h 12 m,,,,MPV
15729-7,1,Holly,Lab Work,16,11/3/2022 8:37:02,11/3/2022 17:55:38,8:37,17:55,9 h 18 m,,LDDST/BP,,MPV
15729-7,1,Holly,Recheck,16,11/16/2022 9:05:34,11/16/2022 9:51:27,9:05,9:51,46 m,,,,MPV
15729-7,1,Holly,,VC,12/13/2022 14:02:48,12/20/2022 12:50:08,14:02,12:50,6 d 22 h 48 m,,,,MPV
15729-7,1,Holly,Sick,19,3/10/2023 9:34:38,3/10/2023 10:19:21,9:34,10:19,45 m,,vomitng,,MPV
15729-7,1,Holly,Sick,16,3/18/2023 13:13:23,3/18/2023 14:06:55,13:13,14:06,53 m,,vomiting again,,MPV
15729-7,1,Holly,Sick,11,4/12/2023 18:17:20,4/12/2023 19:22:26,18:17,19:22,1 h 5 m,,diarrhea,,MPV
15729-7,1,Holly,Recheck,16,4/19/2023 13:56:46,4/19/2023 14:45:03,13:56,14:45,49 m,,and Bord if ok,,MPV
17074,1,Georgie,Exam,19,10/4/2022 10:29:15,10/4/2022 11:04:11,10:29,11:04,35 m,,Am I Pregnant?,,MPV
17074,1,Georgie,Technician Appointment,TK,10/13/2022 10:54:52,10/13/2022 11:16:30,10:54,11:16,22 m,,Xrays,,MPV
17074,1,Georgie,Surgery,4,5/8/2023 9:00:26,5/9/2023 11:35:12,9:00,11:35,1 d 2 h 35 m,,Canine OVH,,MPV
2510,1,Mink,Senior Exam,16,4/28/2023 8:25:38,4/28/2023 9:26:57,8:25,9:26,1 h 1 m,,sudden weight gain,,MPV
9963,1,Nipper (Junior),Sick,16,8/24/2022 10:44:16,8/24/2022 11:19:36,10:44,11:19,35 m,,,,MPV
753,1,Pippy,Senior Exam,16,4/28/2023 8:24:35,4/28/2023 9:28:14,8:24,9:28,1 h 4 m,,painful abdomen???,,MPV
17909,1,Milo,Sick,19,10/14/2022 16:55:27,10/14/2022 17:40:02,16:55,17:40,45 m,,,,MPV
18357,1,Finn,Sick,4,10/24/2022 9:11:22,10/24/2022 9:38:55,9:11,9:38,27 m,,ate burrs  vomiting,,MPV
17909,1,Milo,,TK,10/24/2022 15:42:03,10/24/2022 16:03:57,15:42,16:03,21 m,,,,MPV
17909,1,Milo,Not Wellness,19,10/27/2022 17:35:10,10/27/2022 17:59:26,17:35,17:59,24 m,,Libre is not working,,MPV
18357,1,Finn,Sick,19,10/27/2022 18:04:26,10/27/2022 18:49:24,18:04,18:49,45 m,,abcess,,MPV
17909,1,Milo,Drop off - Admit,19,10/31/2022 7:33:33,10/31/2022 19:01:38,7:33,19:01,11 h 28 m,,glucose curve,,MPV
18357,1,Finn,Recheck,19,11/10/2022 19:07:31,11/10/2022 19:23:26,19:07,19:23,16 m,,skin,,MPV
17910,1,Bandit,Sick,M19,1/14/2023 10:10:21,1/14/2023 11:01:51,10:10,11:01,51 m,,not eating much/sore mouth,,MET
17910,1,Bandit,Recheck,19,2/2/2023 16:25:19,2/2/2023 17:43:11,16:25,17:43,1 h 18 m,,,,MPV
17909,1,Milo,Sick,6,3/2/2023 16:39:25,3/2/2023 16:59:46,16:39,16:59,20 m,,,,MPV
17909,1,Milo,Senior Exam,4,3/27/2023 19:12:47,3/27/2023 19:49:09,19:12,19:49,37 m,,,,MPV
18357,1,Finn,Preventative Care Exam,6,5/23/2023 18:05:29,5/23/2023 18:24:26,18:05,18:24,19 m,,,,MPV
17910,1,Bandit,Preventative Care Exam,11,5/24/2023 18:36:10,5/24/2023 18:58:16,18:36,18:58,22 m,,,,MPV
16347,1,Henry,Sick,4,8/29/2022 16:38:17,8/29/2022 17:08:52,16:38,17:08,30 m,,,,MPV
16347,1,Henry,Senior Exam,L4,12/14/2022 13:27:43,12/14/2022 14:00:00,13:27,14:00,33 m,,vacc,,LVH
16347,1,Henry,Recheck,4,1/23/2023 18:13:49,1/23/2023 19:24:03,18:13,19:24,1 h 11 m,,,,MPV
23075,1,Baxter,Preventative Care Exam,19,5/12/2023 12:46:49,5/12/2023 13:16:56,12:46,13:16,30 m,,,,MPV
20782,1,Pearl,Preventative Care Exam,24,5/8/2023 10:00:52,5/8/2023 10:42:50,10:00,10:42,42 m,,,,MPV
20782,1,Pearl,Sick,16,6/8/2023 9:16:16,6/8/2023 9:48:30,9:16,9:48,32 m,,injured ear,,MPV
17011,1,Ralph,Lab Work,TK,11/22/2022 9:22:05,11/22/2022 9:32:24,9:22,9:32,10 m,,,,MPV
17011,1,Ralph,Preventative Care Exam,19,3/6/2023 9:38:32,3/6/2023 10:07:24,9:38,10:07,29 m,,,,MPV
17011,1,Ralph,Sick,6,4/25/2023 18:18:16,4/25/2023 18:58:28,18:18,18:58,40 m,,licking paw raw,,MPV
23647,2,Trixie,Sick,L4,3/8/2023 15:39:09,3/8/2023 16:15:37,15:39,16:15,36 m,,,,LVH
23647,2,Trixie,Dental,4,3/13/2023 8:35:33,3/13/2023 16:41:40,8:35,16:41,8 h 6 m,,Dental,,MPV
23647,2,Trixie,Recheck,L4,3/22/2023 14:08:52,3/22/2023 14:33:20,14:08,14:33,25 m,,,,LVH
23647,2,Trixie,Technician Appointment,L24,5/24/2023 15:41:40,5/24/2023 15:50:12,15:41,15:50,9 m,,anals,,LVH
30690,1,Pete ZaHut,New Client,L16,12/12/2022 18:18:29,12/12/2022 19:04:56,18:18,19:04,46 m,,,,LVH
27553,1,Soren,Not Wellness,19,10/6/2022 14:54:28,10/6/2022 15:16:47,14:54,15:16,22 m,,scabs in his nose,,MPV
27553,1,Soren,Sick,19,11/15/2022 10:33:27,11/15/2022 11:11:42,10:33,11:11,38 m,,getting worse,,MPV
27553,1,Soren,Sick,19,12/29/2022 14:35:12,12/29/2022 14:54:28,14:35,14:54,19 m,,Check gums,,MPV
27553,1,Soren,Dental,19,1/31/2023 7:35:21,1/31/2023 19:21:35,7:35,19:21,11 h 46 m,,extractions,,MPV
27553,1,Soren,Recheck,19,2/1/2023 8:43:57,2/1/2023 8:55:54,8:43,8:55,12 m,,,,MPV
31369,1,Maverick,New Pet,M11,2/7/2023 11:50:57,2/7/2023 12:36:27,11:50,12:36,46 m,,puppy wellness,,MET
31369,1,Maverick,Sick,M11,2/10/2023 14:54:48,2/10/2023 15:37:13,14:54,15:37,43 m,,V/D,,MET
31369,1,Maverick,Preventative Care Exam,M11,2/28/2023 10:35:23,2/28/2023 10:50:04,10:35,10:50,15 m,,next puppy vx,,MET
31369,1,Maverick,Sick,M11,4/7/2023 11:29:44,4/7/2023 11:57:03,11:29,11:57,28 m,,urinary,,MET
27553,1,Soren,Preventative Care Exam,24,5/8/2023 12:54:16,5/8/2023 13:21:41,12:54,13:21,27 m,,,,MPV
30309,1,Penelope,New Client,4,10/28/2022 17:16:22,10/28/2022 18:01:13,17:16,18:01,45 m,,,,MPV
30309,1,Penelope,Sick,19,12/29/2022 13:42:03,12/29/2022 14:16:46,13:42,14:16,34 m,,eye drainage,,MPV
30309,1,Penelope,Sick,6,2/17/2023 14:15:20,2/17/2023 14:40:54,14:15,14:40,25 m,,injured back leg,,MPV
30309,1,Penelope,Recheck,6,2/21/2023 19:13:59,2/21/2023 20:06:37,19:13,20:06,53 m,,xrays next step,,MPV
30309,1,Penelope,Sick,6,3/31/2023 16:18:32,3/31/2023 16:51:14,16:18,16:51,33 m,,not eating,,MPV
30309,1,Penelope,Sick,4,7/14/2023 9:53:09,7/14/2023 10:21:42,9:53,10:21,28 m,,uri,,MPV
6497-2,1,Molly,Senior Exam,4,8/4/2022 9:42:22,8/4/2022 10:15:07,9:42,10:15,33 m,,senior wellness & vaccines,,MPV
6497-2,1,Molly,Drop off - Admit,16,9/1/2022 9:59:35,9/1/2022 14:12:47,9:59,14:12,4 h 13 m,,dropping off @ 10 AM,,MPV
6497-2,1,Molly,Sick,6,9/6/2022 12:14:35,9/6/2022 12:43:07,12:14,12:43,29 m,,bleeding near rectum,,MPV
6497-2,1,Molly,Recheck,6,9/20/2022 12:21:58,9/20/2022 12:45:20,12:21,12:45,24 m,,,,MPV
6497-2,1,Molly,Sick,11,11/11/2022 11:37:40,11/11/2022 12:20:53,11:37,12:20,43 m,,eye infection,,MPV
6497-2,1,Molly,Recheck,6,11/29/2022 16:36:16,11/29/2022 17:00:17,16:36,17:00,24 m,,,,MPV
6497-2,1,Molly,Recheck,6,12/6/2022 12:21:54,12/6/2022 12:34:08,12:21,12:34,13 m,,Eyes,,MPV
6497-2,1,Molly,Recheck,6,12/13/2022 12:20:20,12/13/2022 12:32:48,12:20,12:32,12 m,,Eyes,,MPV
6497-2,1,Molly,Sick,6,1/17/2023 13:18:48,1/17/2023 13:51:24,13:18,13:51,33 m,,Left eye,,MPV
6497-2,1,Molly,Sick,6,3/21/2023 11:57:14,3/21/2023 12:29:27,11:57,12:29,32 m,,ear infection,,MPV
6497-2,1,Molly,Senior Exam,6,6/28/2023 12:05:45,6/28/2023 12:33:15,12:05,12:33,28 m,,,,MPV
L5349,1,Zev,Sick,L12,9/1/2022 10:49:58,9/1/2022 11:22:12,10:49,11:22,33 m,,,,LVH
L5349,1,Zev,Sick,6,2/20/2023 18:37:37,2/20/2023 19:13:44,18:37,19:13,36 m,,dripping blood & 'clots',,MPV
L6941,1,Angel,Sick,L19,10/12/2022 13:24:03,10/12/2022 14:03:00,13:24,14:02,38 m,,,,LVH
12358,1,Pete,Preventative Care Exam,L19,12/2/2022 9:04:43,12/2/2022 9:23:45,9:04,9:23,19 m,,,,LVH
29790,1,Sophy,New Pet,L12,12/6/2022 9:23:03,12/6/2022 10:02:18,9:23,10:02,39 m,,urinary issues,,LVH
29790,1,Sophy,Radiology,TK,12/26/2022 13:48:36,12/26/2022 14:07:00,13:48,14:07,19 m,,abdomen/bladder rads,,MPV
29790,1,Sophy,Radiology,TK,2/28/2023 9:20:26,2/28/2023 9:30:03,9:20,9:30,10 m,,,,MPV
29790,1,Sophy,Surgery,4,4/11/2023 8:01:00,4/12/2023 9:03:05,8:01,9:03,1 d 1 h 2 m,,removing bladder stones,,MPV
20515-1,1,Angelise,TNT,TK,11/14/2022 17:35:55,11/14/2022 17:48:20,17:35,17:48,13 m,,,,MPV
20515-1,1,Angelise,Sick,6,12/20/2022 17:53:46,12/20/2022 18:26:43,17:53,18:26,33 m,,Possible uti.,,MPV
20515-1,1,Angelise,Senior Exam,11,2/15/2023 19:01:45,2/15/2023 19:43:06,19:01,19:43,42 m,,"vacc, fecal and TNT",,MPV
20515-1,1,Angelise,TNT,TK,5/3/2023 17:51:46,5/3/2023 18:09:47,17:51,18:09,18 m,,,,MPV
6879,1,Lemon,Preventative Care Exam,L19,9/2/2022 15:11:00,9/2/2022 15:35:51,15:11,15:35,24 m,,,,LVH
6879,1,Lemon,Sick,M11,5/26/2023 14:50:43,5/26/2023 15:15:38,14:50,15:15,25 m,,weight loss,,MET
14408,1,Waylon,Sick,L19,11/18/2022 13:10:08,11/18/2022 13:44:47,13:10,13:44,34 m,,,,LVH
14408,1,Waylon,Senior Exam,L19,3/3/2023 15:01:46,3/3/2023 15:22:08,15:01,15:22,21 m,,,,LVH
14408,1,Waylon,Sick,L12,4/25/2023 15:47:19,4/25/2023 16:16:17,15:47,16:16,29 m,,,,LVH
