"patientid","description","staffid","datein","dateout","visit_details","location","app_type","app_subtype","duration_min","details"
"14395","senior exam","24",2023-02-20 11:47:40,2023-02-20 12:21:15,"vacc","mpv","doctor",NA,34,"senior exam"
"14395","technician appointment","tk",2023-05-20 10:33:16,2023-05-20 10:53:06,"lyme lepto","met","tech_app",NA,20,"misc tech appointment"
"9448","sick","11",2022-08-29 16:43:43,2022-08-29 17:15:52,"swollen face","mpv","doctor",NA,32,"sick"
"9448","lab work","tk",2022-08-31 09:10:11,2022-08-31 09:23:16,NA,"mpv","tech_app",NA,13,"lab work"
"3706","senior exam","16",2022-10-20 08:52:23,2022-10-20 09:30:05,NA,"mpv","doctor",NA,38,"senior exam"
"9448","preventative care exam","19",2022-11-02 10:51:30,2022-11-02 11:17:27,NA,"mpv","doctor",NA,26,"preventative care exam"
"3706","recheck","16",2022-11-17 08:28:47,2022-11-17 09:02:56,"bw","mpv","doctor",NA,34,"recheck"
"3706","recheck","16",2022-11-23 15:56:03,2022-11-23 16:32:22,NA,"mpv","doctor",NA,36,"recheck"
"9448","sick","11",2023-05-31 12:03:32,2023-05-31 12:32:21,"lethargic, diarrhea, vomited","mpv","doctor",NA,29,"sick"
"9448","sick","11",2023-06-26 11:04:18,2023-06-26 11:46:56,"ear infection","mpv","doctor",NA,43,"sick"
"3706","senior exam","16",2023-06-29 08:41:23,2023-06-29 09:12:14,NA,"mpv","doctor",NA,31,"senior exam"
"32315","new client","16",2023-05-11 14:04:03,2023-05-11 14:45:33,"check tooth","mpv","doctor",NA,42,"new client"
"32315","dental","16",2023-05-24 07:28:54,2023-05-24 17:40:21,"extraction","mpv","admit",NA,611,NA
"32315","sick","12",2023-07-25 15:25:19,2023-07-25 15:56:24,"skin issues, hairloss & rash","lvh","doctor",NA,31,"sick"
"14587","sick","6",2022-08-17 10:16:54,2022-08-17 10:45:42,"nail in pad","mpv","doctor",NA,29,"sick"
"29487","new pet","19",2022-09-07 09:44:43,2022-09-07 10:36:57,NA,"mpv","doctor",NA,52,"new pet"
"12801","preventative care exam","11",2023-05-30 17:19:57,2023-05-30 17:49:19,NA,"met","doctor",NA,29,"preventative care exam"
"13849","senior exam","6",2023-06-22 12:33:03,2023-06-22 13:08:51,NA,"met","doctor",NA,36,"senior exam"
